tweet_content,emotion,decision_type,financial_strategy,financial_goal,sentiment_score,likes,retweets,replies,spending_behavior,financial_behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Fear,Conservative,Saving,Retirement Savings,0.31,567,160,22,Frugal,Good behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Anticipation,Conservative,Budgeting,Education Fund,-0.73,135,312,97,Splurge,Good behavior
"Looking forward to the rewards of my investment strategy over time. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Anticipation,Conservative,Investing,Buying a House,-0.59,784,239,30,Frugal,Moderate behavior
"Making smart financial decisions is bringing me closer to my goals! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Joy,Aggressive,Investing,Education Fund,-0.03,230,77,100,Frugal,Risky behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Trust,Balanced,Investing,Education Fund,0.32,655,122,48,Average,Moderate behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Sadness,Conservative,Saving,Buying a House,0.99,682,130,82,Average,Good behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Joy,Aggressive,Debt Management,Education Fund,0.65,495,28,56,Splurge,Risky behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Fear,Balanced,Debt Management,Retirement Savings,-0.6,693,410,64,Splurge,Good behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Fear,Aggressive,Investing,Buying a House,-0.57,772,260,90,Frugal,Risky behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Joy,Conservative,Investing,Buying a House,0.79,811,252,54,Frugal,Moderate behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anger,Balanced,Investing,Education Fund,-0.12,256,263,33,Average,Moderate behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Surprise,Conservative,Debt Management,Buying a House,-0.83,246,317,56,Frugal,Moderate behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Trust,Conservative,Debt Management,Buying a House,-0.02,694,274,53,Frugal,Moderate behavior
