tweet_content,decision_type,financial_strategy,financial_goal,sentiment_score,likes,retweets,replies,spending_behavior,financial_behavior
"High-risk investments are the key to growing my wealth faster. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Aggressive,Budgeting,Emergency Fund,-0.81,688,273,12,Splurge,Moderate behavior
"A balanced approach to spending and saving ensures financial stability. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Balanced,Saving,Retirement Savings,-0.37,709,6,32,Frugal,Good behavior
"High-risk investments are the key to growing my wealth faster. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Aggressive,Saving,Education Fund,-0.55,560,56,20,Splurge,Moderate behavior
"Investing aggressively can yield high returns, but there’s risk involved. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Aggressive,Saving,Buying a House,-0.46,584,68,57,Average,Moderate behavior
"Diversifying my investments has given me both growth and security. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Balanced,Saving,Education Fund,0.22,590,426,55,Frugal,Good behavior
"Investing aggressively can yield high returns, but there’s risk involved. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Aggressive,Saving,Buying a House,0.89,630,361,53,Average,Moderate behavior
"Investing aggressively can yield high returns, but there’s risk involved. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Aggressive,Investing,Retirement Savings,0.74,76,352,71,Splurge,Risky behavior
"A balanced approach to spending and saving ensures financial stability. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Balanced,Budgeting,Emergency Fund,0.33,870,183,6,Splurge,Good behavior
"I stick to low-risk investments, ensuring long-term stability. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Conservative,Saving,Emergency Fund,-0.58,475,475,92,Frugal,Good behavior
"I stick to low-risk investments, ensuring long-term stability. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Conservative,Debt Management,Buying a House,0.27,3,212,39,Splurge,Moderate behavior
"Investing aggressively can yield high returns, but there’s risk involved. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Aggressive,Budgeting,Emergency Fund,0.87,844,140,64,Splurge,Moderate behavior
"I'm taking big financial risks now to secure a prosperous future. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Aggressive,Budgeting,Education Fund,-0.46,288,169,77,Frugal,Moderate behavior
"High-risk investments are the key to growing my wealth faster. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Aggressive,Debt Management,Emergency Fund,0.56,135,432,66,Frugal,Risky behavior
"Diversifying my investments has given me both growth and security. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Balanced,Debt Management,Education Fund,0.1,858,337,6,Frugal,Good behavior
"Diversifying my investments has given me both growth and security. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Balanced,Investing,Emergency Fund,-0.68,854,79,32,Splurge,Moderate behavior
